id,question,answer
38,"What can be viewed once a dbt job has finished running?
================================================
ANSWERS
A) Only the run status

B) Only the data models

C) Run results and artifacts

D) Only the errors
================================================
TOPICS:
jobs, run","================================================
C
================================================
Run results and artifacts. Post completion, one can view run results and artifacts from that run. Reference:https://courses.getdbt.com/courses/take/advanced-deployment/lessons/39681223-environments-jobs-and-runs"
39,"A data analyst is attempting to run a dbt model named 'customers' but encounters an error indicating that a dependency named 'stg_customer' was not found. The analyst needs to resolve this issue to successfully compile and run the model. What should the analyst do to fix the compilation error related to the missing 'stg_customer' dependency?

Choose only ONE best answer.
================================================
ANSWERS
A) Ensure that the 'stg_customer' model is correctly defined in the dbt_project.yml file.

B) Check if the 'stg_customer' model is defined in the project and create it if it does not exist.

C) Replace the reference to 'stg_customer' in 'customers.sql' with a valid model name that exists, such as 'stg_customers'.

D) Verify if the 'stg_customer.sql' file exists within the project directory and confirm if the model is correctly defined.

E) Rename the 'customers.sql' file to 'stg_customer.sql' to match the dependency name.
================================================
TOPICS:
dbt, dependency, model, compilation, error, troubleshooting","================================================
C
================================================
The correct action is to replace the reference to 'stg_customer' in the 'customers.sql' file with a valid model name that exists, such as 'stg_customers'. This resolves the dependency issue without needing to create a new file or rename existing ones. Checking for the existence of 'stg_customer.sql' is unnecessary if the model is already defined under a different name. Renaming 'customers.sql' would not address the underlying dependency problem, and ensuring the model is defined in dbt_project.yml does not directly resolve the compilation error. 

## Reference: https://docs.getdbt.com/docs/introduction"
40,"A data analyst is preparing to implement a new selector in their `selectors.yml` file to filter nodes based on specific tags. They want to ensure that the selector is reusable across different job definitions and can be easily modified in the future. The analyst considers using YAML anchors for this purpose. YAML anchors are a feature in YAML that allows you to define a value once and reuse it elsewhere in the document, which can enhance maintainability and reduce redundancy. What is the most effective way for the analyst to structure the selector in the `selectors.yml` file to ensure both reusability and maintainability?
================================================
ANSWERS
A) Create a key-value pair definition for the selector, which is straightforward but may not support future modifications as effectively as a full YAML definition.

B) Implement a custom Python function to define the selector, providing greater flexibility but potentially complicating the overall implementation.

C) Define the selector using a full YAML definition with YAML anchors to allow for easy modifications and reuse in other selectors.

D) Use a CLI-style definition for the selector, keeping it simple and avoiding complexity, even if it limits reusability.

E) Include a description for the selector, but avoid using YAML anchors to keep the file clean and simple, as this will limit the potential for reusability and maintainability.
================================================
TOPICS:
yaml, selectors, best practices, maintainability","================================================
C
================================================
The best practice for maximizing reusability and maintainability is to define the selector using a full YAML definition that incorporates YAML anchors. This allows the analyst to easily modify the selector in one place and have those changes reflected wherever the anchor is referenced. The other options either compromise on reusability or do not leverage the full capabilities of YAML. 

## Reference: https://docs.getdbt.com/reference/node-selection/yaml-selectors"
41,"A data engineer is tasked with managing access to various dbt models within a team. They need to ensure that team members can only access the models relevant to their roles while maintaining overall project security. What approach best balances security and usability for access management in dbt?
================================================
ANSWERS
A) Use environment variables to control access to models based on user roles.

B) Assign access based on team members' seniority levels.

C) Create a single role for all team members to simplify access management.

D) Utilize grants to assign specific permissions to team members for each model.

E) Implement a manual approval process for every model access request.
================================================
TOPICS:
dbt Cloud, access management, security, grants","================================================
D
================================================
Utilizing grants allows the data engineer to assign specific permissions to team members for each model, ensuring that individuals only have access to the models necessary for their roles. This method enhances security and maintains a clear structure for access management. The other options either compromise security, complicate management, or are not practical for effective access control. 

## Reference: https://www.getdbt.com/blog/teaching-dbt-about-grants"
42,"What is the primary purpose of using sources in dbt?
================================================
ANSWERS
A) To optimize query performance

B) To document and test data transformations

C) To name and describe data loaded into your warehouse

D) To automate data loading processes
================================================
TOPICS:
sources, data modeling, metadata","================================================
C
================================================
To name and describe data loaded into your warehouse. Sources in dbt are used to name and describe the data loaded into your warehouse, enhancing data lineage and testing. Reference:https://docs.getdbt.com/docs/build/sources"
43,"A data engineer is configuring a dbt project and needs to specify where the snapshots are located. They want to use a custom directory named `archives` instead of the default `snapshots` directory. What should the engineer include in the `dbt_project.yml` file to set the snapshot paths correctly, focusing on the `snapshot-paths` key?
================================================
ANSWERS
A) Set the `snapshot-paths` key in the `dbt_project.yml` file to `archives` to specify the custom directory for snapshots.

B) Leave the `snapshot-paths` key unset to use the default directory for snapshots.

C) Set the `snapshot-paths` key in the `dbt_project.yml` file to `snapshots` to ensure it uses the default directory.

D) Set the `snapshot-paths` key in the `dbt_project.yml` file to `invalid_path` to test the understanding of valid configurations.
================================================
TOPICS:
dbt configuration, project setup, snapshots, dbt_project.yml","================================================
A
================================================
To specify a custom directory for snapshots, the engineer should set the `snapshot-paths` key in the `dbt_project.yml` file to `archives`. This configuration allows dbt to look for snapshots in the specified directory instead of the default `snapshots` directory. Leaving the key unset would result in using the default directory, while setting it back to `snapshots` would negate the purpose of using a custom directory. Creating a new directory within `archives` is unnecessary and does not align with the configuration requirements."
44,"A data engineer is troubleshooting a dbt project and notices that the column types specified in the seed configuration are not being recognized. They suspect a case sensitivity issue. What specific aspect of case sensitivity should the engineer verify regarding the column names in the seed configuration?
================================================
ANSWERS
A) Check if the database itself has case sensitivity settings that could affect recognition.

B) Check if the column names are correctly quoted in the configuration file.

C) Ensure that the column names in the seed configuration match exactly, including case sensitivity.

D) Confirm that the column names do not contain any special characters or spaces.

E) Verify that the column names are listed in alphabetical order for proper recognition.
================================================
TOPICS:
seed, configuration, case-sensitivity, troubleshooting","================================================
C
================================================
The engineer should ensure that the column names in the seed configuration match exactly, including case sensitivity. dbt is case-sensitive when it comes to column names, so any mismatch in case will lead to the configuration not being recognized. The other options, while potentially relevant to other issues, do not address the specific case sensitivity concern. 

Reference: https://docs.getdbt.com/reference/resource-configs/column_types"
45,"A data analyst is working on a dbt project and needs to ensure that their source data is being tracked correctly. They want to implement a test to verify that each customer in their Stripe data has a unique ID. They are unsure how to write this test in their YAML configuration. How should the analyst configure the dbt test to ensure uniqueness of customer IDs
================================================
ANSWERS
A) Define a dbt test in the YAML file that checks for unique values in the customer ID field

B) Use a SQL query to manually check for duplicates in the customer ID field, which can be time-consuming and error-prone.

C) Set a freshness threshold for the customer ID field to ensure it is updated regularly, but this does not directly address the uniqueness requirement.

D) Create a custom dbt macro that performs a uniqueness check on the customer ID field and integrates seamlessly with your dbt project.

E) Implement a snapshot strategy to track changes in customer IDs over time, ensuring that each ID is distinct and not duplicated.
================================================
TOPICS:
data quality, testing, yaml configuration, unique tests","================================================
A
================================================
The analyst should define a test in the YAML file that checks for unique values in the customer ID field. This is the appropriate way to ensure data quality and uniqueness. Implementing a snapshot strategy would not directly address the uniqueness requirement, while manually checking for duplicates is not efficient. Setting a freshness threshold pertains to data timeliness rather than uniqueness. 

## Reference: https://popsql.com/learn-dbt/dbt-sources"
46,"In which environments can you develop with MetricFlow in dbt?
================================================
ANSWERS
A) dbt Cloud CLI

B) dbt Cloud IDE

C) dbt Core

D) All of the above
================================================
TOPICS:
Metrics, MetricFlow, dbt Cloud, dbt Core","================================================
D
================================================
All of the above. MetricFlow allows you to develop from your preferred environment, whether that's the dbt Cloud CLI, dbt Cloud IDE, or dbt Core.
Reference: https://docs.getdbt.com/docs/build/build-metrics-intro"
47,"A data analyst is tasked with implementing a new generic test in their dbt project to ensure that a specific column in a model contains only even numbers. They have already defined the `is_even` test in their project and need to apply it to the `favorite_number` column in the `users` model. The `models/.yml` file contains the configuration for the `users` model, where the `favorite_number` column is defined. The analyst must ensure that the test is correctly associated with this column. What is the correct way for the analyst to apply the `is_even` test to the `favorite_number` column in the `users` model?
================================================
ANSWERS
A) Add the line `- is_even` under the `favorite_number` column in the `models/.yml` file.

B) Modify the `dbt_project.yml` file to include the `is_even` test globally for all models.

C) Include the `is_even` test in the `tests` directory without referencing it in the model configuration.

D) Create a new SQL file in the `tests` directory that manually checks for even numbers in the `favorite_number` column.
================================================
TOPICS:
testing, models, custom-generic-tests, yml","================================================
A
================================================
To apply the `is_even` test to the `favorite_number` column in the `users` model, the analyst should add the line `- is_even` under the `favorite_number` column in the `models/.yml` file. This directly associates the test with the specified column. The other options do not correctly apply the test to the column: simply including the test in the `tests` directory does not link it to the model, modifying the `dbt_project.yml` file does not target specific columns, and creating a new SQL file would not utilize the predefined generic test. 

## Reference: https://docs.getdbt.com/best-practices/writing-custom-generic-tests"
48,"A data engineer is preparing to run a dbt Python model that has been defined to transform data from a source table. They want to ensure that the model will execute correctly and produce the expected output in the data warehouse. What is the most critical step the engineer should take to ensure the Python model is correctly configured before execution?
================================================
ANSWERS
A) Check the model's syntax and ensure that it returns a DataFrame as required by dbt.

B) Use the `dbt run` command with the `--debug` flag to execute the model and view detailed logs.

C) Review the model's documentation for best practices.

D) Execute the model without prior validation of its setup.

E) Validate the model's dependencies and ensure that all upstream models are up to date before running.
================================================
TOPICS:
python models, dataframes, syntax, dbt run","================================================
A
================================================
The engineer should check the model's syntax and ensure that it returns a DataFrame as required by dbt. This is a crucial step to confirm that the model is set up correctly. While validating dependencies and using the `--debug` flag can be helpful, ensuring the correct return type is fundamental to the model's execution. Running the model directly without checks is not advisable. 

## Reference: https://docs.getdbt.com/docs/build/python-models"
49,"A data engineer is preparing to run the `dbt ls` command to list all resources in their dbt project. They want to focus specifically on models related to the `marketing` package and ensure that they do not include any disabled models in the output. What command should the data engineer use to achieve this while excluding disabled models?
================================================
ANSWERS
A) dbt ls --select marketing. --exclude disabled

B) dbt ls --select marketing. --output json

C) dbt ls --resource-type model --exclude disabled

D) dbt ls --resource-type model --select marketing.*
================================================
TOPICS:
dbt commands, dbt ls, resource selection, package management","================================================
D
================================================
The correct command is to use `dbt ls --resource-type model --select marketing.*` as it specifically targets models within the `marketing` package. The first option is incorrect because `--exclude disabled` is not a valid flag for excluding disabled models in this context. The third option is incorrect as it does not specify the resource type, which is necessary to filter for models. The fourth option is also incorrect because while it specifies the resource type, it does not include the selection of the `marketing` package. 

Reference: https://docs.getdbt.com/reference/commands/list"
50,"A developer is working on a dbt project and wants to increase the verbosity of the logs to troubleshoot an issue. They are unsure how to enable debug-level logging. Which command-line option should the developer use to enable debug-level logging in their dbt command?
================================================
ANSWERS
A) --debug-logs

B) --log-level verbose

C) --debug

D) --verbose

E) --log-level debug
================================================
TOPICS:
dbt commands, logging, troubleshooting","================================================
C
================================================
The '--debug' option is specifically designed to increase the verbosity of the logs in dbt, allowing for more detailed output that can help in troubleshooting issues. The other options either do not exist or do not provide the same functionality as '--debug'. The inclusion of plausible but incorrect options increases the challenge level. 

Reference: https://docs.getdbt.com/reference/commands/debug"
51,"What is the recommended approach for code reuse in dbt Python models?
================================================
ANSWERS
A) Create and register ""named"" UDFs

B) Use private Python packages

C) Define functions in SQL models

D) Write code directly in SQL models
================================================
TOPICS:
python models, UDFs, code reuse","================================================
A
================================================
Create and register ""named"" UDFs. Currently, Python functions defined in one dbt model can't be imported and reused in other models. Reference:https://docs.getdbt.com/docs/build/python-models"
52,"A team is working on a dbt project and has multiple models that are dependent on each other. They need to ensure that the models are built in the correct order based on their dependencies as indicated in the results of the dbt run. Failing to execute the models in the correct order could lead to incorrect data outputs and analysis. What is the best practice for managing model execution order in dbt?
================================================
ANSWERS
A) Run each model manually in the desired order without using dbt.

B) Change the materialization strategy of all models to incremental.

C) Use the ref macro in the models to define dependencies explicitly.

D) Ignore the dependencies and let dbt determine the order automatically.
================================================
TOPICS:
model dependencies, ref function, execution order, dbt run","================================================
C
================================================
To ensure that the models are executed in the correct sequence, the team should use the ref macro in the models to define dependencies explicitly. This allows dbt to understand the order in which models should be built. The other options do not effectively manage model dependencies. 

## Reference: https://docs.getdbt.com/reference/artifacts/run-results-json"
53,"Which tool can be used to generate the correct cron syntax when setting up a custom cron schedule for a deploy job?
================================================
ANSWERS
A) crontab.guru

B) dbt Scheduler

C) cronjobgenerator.com

D) cronmaster.com
================================================
TOPICS:
dbt Cloud, deployment, jobs, scheduling, cron","================================================
A
================================================
crontab.guruUse tools such as crontab.guru to generate the correct cron syntax. This tool allows you to input cron snippets and returns their plain English translations.Reference: https://docs.getdbt.com/docs/deploy/deploy-jobs"
54,"What are some common use cases of intermediate models?
================================================
ANSWERS
A) Materialization as tables

B) Isolating complex operations

C) Exposing to end users

D) Focusing on single entities
================================================
TOPICS:
modeling, intermediate models, best practices","================================================
B
================================================
Intermediate models are commonly used for isolating complex operations and making them easier to refine and troubleshoot. Reference: https://docs.getdbt.com/best-practices/how-we-structure/3-intermediate"
55,"What is the key advantage of materialized view materializations in dbt compared to regular views?
================================================
ANSWERS
A) Data freshness

B) Query performance

C) Simplicity of use

D) Manual refresh
================================================
TOPICS:
materialized view, view, performance","================================================
B
================================================
Query performance. Materialized view materializations offer the advantage of combining the query performance of a table with the data freshness of a view. Reference:https://docs.getdbt.com/docs/build/materializations"
56,"A data engineer is configuring a dbt project and needs to specify where the snapshots are located. They want to use a custom directory named `archives` instead of the default `snapshots` directory. What should the engineer include in the `dbt_project.yml` file to set the snapshot paths correctly, focusing on the `snapshot-paths` key?
================================================
ANSWERS
A) Set the `snapshot-paths` key in the `dbt_project.yml` file to `archives` to specify the custom directory for snapshots.

B) Leave the `snapshot-paths` key unset to use the default directory for snapshots.

C) Set the `snapshot-paths` key in the `dbt_project.yml` file to `snapshots` to ensure it uses the default directory.

D) Set the `snapshot-paths` key in the `dbt_project.yml` file to `invalid_path` to test the understanding of valid configurations.
================================================
TOPICS:
dbt configuration, project structure, snapshots","================================================
A
================================================
To specify a custom directory for snapshots, the engineer should set the `snapshot-paths` key in the `dbt_project.yml` file to `archives`. This configuration allows dbt to look for snapshots in the specified directory instead of the default `snapshots` directory. Leaving the key unset would result in using the default directory, while setting it back to `snapshots` would negate the purpose of using a custom directory. Creating a new directory within `archives` is unnecessary and does not align with the configuration requirements."
57,"A data engineer is tasked with optimizing the performance of a data transformation process in a dbt project. They are considering different materialization strategies to improve query speed while managing build times effectively. Which materialization strategy should the data engineer choose to ensure fast query performance while minimizing rebuild times for complex transformations, considering the trade-offs between speed and rebuild times?
================================================
ANSWERS
A) Select ephemeral models to keep the data warehouse clean, but they cannot be queried directly.

B) Opt for incremental models to reduce build times by only transforming new records, but require extra configuration.

C) Use the table materialization for fast querying, but be aware of longer rebuild times for complex transformations.

D) Implement materialized views to combine the benefits of views and tables, allowing for efficient data retrieval and updates.
================================================
TOPICS:
materialization, performance, best practices","================================================
C
================================================
The table materialization is the best choice for ensuring fast query performance, especially for models being queried by BI tools. However, the data engineer must be mindful that while tables provide speed, they can take longer to rebuild, particularly for complex transformations. Incremental models are beneficial for reducing build times but require additional configuration and are best suited for event-style data. Ephemeral models, while useful for lightweight transformations, cannot be queried directly, and materialized views serve a similar purpose to incremental models but may not be the best fit for all scenarios. ## Reference: https://docs.getdbt.com/docs/build/materializations"
58,"A data engineer is tasked with configuring a resource in a YAML file for a data quality test. The test needs to ensure that the data meets certain criteria, including a limit on the number of errors allowed and a specific severity level for reporting issues. The engineer is considering how to set the configuration parameters correctly. What is the correct configuration to ensure that a data quality test allows a maximum of 5 errors and categorizes them as warnings?
================================================
ANSWERS
A) Set `limit: 5` and `severity: info` in the config section.

B) Set `limit: 10` and `severity: warn` in the config section.

C) Set `limit: 5` and `severity: warn` in the config section.

D) Set `limit: 5` and `severity: error` in the config section.
================================================
TOPICS:
data quality,testing,YAML configuration,severity level","================================================
C
================================================
The correct configuration requires setting the limit to 5 and the severity to 'warn' to ensure that any issues are reported as warnings. Setting the severity to 'error' would indicate a more critical issue, which is not desired in this case. A limit of 10 would exceed the specified requirement, and using 'info' would not trigger any alerts for the errors. ## Reference: https://docs.getdbt.com/reference/data-test-configs"
59,"A data engineer is tasked with configuring an incremental model in dbt that will merge new data into an existing table in Snowflake. They need to ensure that only specific columns are updated while preserving the values of other columns that should not be changed. What should the engineer include in their model configuration to update only certain columns during the merge operation?
================================================
ANSWERS
A) Specify the `merge_update_columns` parameter with a list of columns to be updated.

B) Set the `unique_key` parameter to identify the rows to be merged without specifying any columns.

C) Configure the model with `materialized='incremental'` and omit any column specifications.

D) Use the `merge_exclude_columns` parameter to define which columns should not be updated.
================================================
TOPICS:
incremental model, merge, snowflake, dbt configuration","================================================
A
================================================
To update only specific columns during the merge operation, the engineer should include the `merge_update_columns` parameter with a list of the columns they wish to update. The `merge_exclude_columns` parameter serves a different purpose by excluding certain columns from being updated. Setting the `unique_key` parameter is necessary for identifying rows but does not control which columns are updated. Simply configuring the model with `materialized='incremental'` without specifying columns will not achieve the desired outcome. 

## Reference: https://docs.getdbt.com/docs/build/incremental-strategy"
60,"A data analyst is working on a dbt project that requires custom metadata to be included in the dbt artifacts and logs. They want to ensure that their custom environment variables are properly recorded and accessible in the dbt context. How should the analyst define their custom environment variables to ensure they are included in the dbt artifacts and logs, considering the importance of this inclusion in dbt projects?
================================================
ANSWERS
A) Use any naming convention for the environment variables, as dbt will automatically recognize them as custom metadata.

B) Prefix the environment variables with `DBT_ENV_CUSTOM_ENV_` to ensure they are included in the metadata and logs with their prefix-stripped names.

C) Using any naming convention, including custom prefixes, will not guarantee the inclusion of the variables in dbt artifacts and logs. The correct approach is to use the recommended prefixing system.

D) Set the environment variables without any prefix, as dbt will include all environment variables in the logs by default.

E) Define the custom environment variables in the dbt_project.yml file to ensure they are included in the artifacts.
================================================
TOPICS:
environment variables, metadata, logs, dbt artifacts","================================================
B
================================================
To ensure that custom environment variables are included in the dbt artifacts and logs, the analyst should prefix the variables with `DBT_ENV_CUSTOM_ENV_`. This allows dbt to recognize and include them in the metadata and logs with their prefix-stripped names. Using any naming convention will not guarantee inclusion, and defining them in the dbt_project.yml file is not the correct method for this purpose. Setting variables without a prefix does not ensure they will be included. 

## Reference: https://docs.getdbt.com/reference/dbt-jinja-functions/env_var"
61,"A data engineer is tasked with managing the lifecycle of data models in a dbt project. They need to ensure that old models are properly deprecated and that downstream consumers are informed about the changes. The engineer is considering the best practices for versioning and deprecating models to minimize disruption. What best practices should the data engineer follow to sunset old models effectively while ensuring a smooth migration for consumers?
================================================
ANSWERS
A) Create a new version of the model for every minor change, even if the changes are non-breaking, to maintain a complete history of all modifications.

B) Set a deprecation date for the old model and communicate it to all downstream users, allowing them time to migrate to the new version.

C) Immediately remove the old model from the data warehouse to prevent any further use, regardless of downstream dependencies.

D) Only deprecate models when a breaking change occurs, ignoring non-breaking changes to avoid unnecessary complexity.
================================================
TOPICS:
dbt model management, model versioning, deprecation, best practices","================================================
B
================================================
This answer is correct. B

The most effective approach is to set a deprecation date for the old model and communicate it to all downstream users. This allows consumers adequate time to migrate to the new version without disruption. Removing the old model immediately can lead to issues for users who rely on it. Creating a new version for every minor change can lead to clutter and confusion, while only deprecating models for breaking changes does not account for the need to manage non-breaking changes responsibly. 

## Reference: https://docs.getdbt.com/docs/collaborate/govern/model-versions"
62,"A data analyst is reviewing the results of a recent dbt run and notices that some models have failed due to missing dependencies. They want to identify which models are affected and understand the nature of the dependency issues to resolve them effectively. Which command is most effective for the analyst to diagnose failed models and their dependency issues?

Choose only ONE best answer.
================================================
ANSWERS
A) `dbt run --results` to display a detailed report of the run results, including information about failed models and their dependencies.

B) `dbt docs generate` to generate documentation for the models, which can help in understanding the dependencies but does not show run results.

C) `dbt run --graph` to visualize the dependency graph of the models, which can help in understanding dependencies but does not show run results.

D) `dbt run --state` to compare the current run with a previous state and identify changes, rather than directly reporting on failures.

E) `dbt debug` to check for configuration issues that might affect the run, but does not provide run results.
================================================
TOPICS:
dbt commands, troubleshooting, run results, dependency graph","================================================
A
================================================
The correct command is `dbt run --results`, which provides a detailed report of the run results, including information about any models that failed and their dependencies. This allows the analyst to quickly identify and address the issues. The command `dbt debug` is used for checking configuration issues but does not provide run results. `dbt run --graph` is a valid command for visualizing dependencies but does not report on failures, and `dbt run --state` is used for comparing runs rather than directly reporting on failures. 

## Reference: https://docs.getdbt.com/reference/artifacts/run-results-json"
63,"What should you do to improve the readability of Jinja code?
================================================
ANSWERS
A) Use meaningful variable names

B) Use short and cryptic variable names

C) Avoid using variables

D) Use random variable names
================================================
TOPICS:
Jinja, coding style, best practices","================================================
A
================================================
Use meaningful variable names. Examples of Jinja style: {{ this }} instead of {{this}}.
Reference: https://docs.getdbt.com/best-practices/how-we-style/4-how-we-style-our-jinja"
64,"A data analyst is preparing to run a dbt command to test a model that involves various data types, including arrays and structs. They want to ensure that their test captures all necessary data types and structures as defined in their YAML configuration. What is the primary consideration the analyst should keep in mind when defining their unit test for the model, particularly regarding data integrity?
================================================
ANSWERS
A) The analyst should prioritize testing only the most frequently used fields to save time and resources, which may compromise the overall model integrity.

B) The analyst can simplify the test by excluding complex data types like arrays and structs, as they are not critical for initial testing, which could risk missing important validation.

C) The unit test should include all data types and structures as specified in the YAML configuration to ensure comprehensive testing.

D) The test can focus solely on scalar data types, as they are the most common and easiest to validate, potentially overlooking complex data relationships.
================================================
TOPICS:
testing, data-types, yaml, data-integrity","================================================
C
================================================
The primary consideration for the analyst is to include all data types and structures as specified in the YAML configuration. This ensures comprehensive testing of the model, as omitting complex data types like arrays and structs could lead to incomplete validation. The other options suggest a reduction in testing scope that could compromise the integrity of the model. 

Reference: https://docs.getdbt.com/reference/resource-properties/data-types"
65,"A data analyst is tasked with implementing snapshots for the 'orders' table in the 'jaffle_shop' database (PostgreSQL) to track changes in the 'status' field over time. The analyst needs to ensure that the snapshot captures the historical states of the orders accurately, especially when the status changes from 'pending' to 'shipped'. What SQL configuration is essential for effectively capturing historical changes in the 'status' field of the 'orders' table?
================================================
ANSWERS
A) Set the strategy to 'append' to keep adding new records without tracking changes.

B) Use a 'snapshot' strategy that does not track any changes.

C) Implement a 'merge' strategy to combine historical data with current data.

D) Set the strategy to 'timestamp' and specify 'updated_at' as the column to track changes.

E) Use the 'check' strategy to monitor changes in the 'status' column only.
================================================
TOPICS:
snapshots, data modeling, sql, postgresql","================================================
D
================================================
The correct configuration involves setting the strategy to 'timestamp' and specifying 'updated_at' as the column to track changes. This allows the snapshot to accurately capture the historical states of the 'status' field. The 'check' strategy is not suitable as it does not track historical changes effectively. The 'merge' strategy is not applicable in this context, and the 'append' strategy would not provide the necessary historical tracking. 

## Reference: https://docs.getdbt.com/docs/build/snapshots"
66,"How does the scheduler handle CI (continuous integration) jobs?
================================================
ANSWERS
A) Runs CI jobs in parallel

B) Runs CI jobs in serial

C) Gives CI jobs higher priority

D) Requires additional slots
================================================
TOPICS:
scheduler, CI, jobs, concurrency","================================================
A
================================================
Runs CI jobs in parallel. CI jobs are handled differently and execute concurrently in parallel to increase productivity and avoid blocking production runs. Reference: https://docs.getdbt.com/docs/deploy/job-scheduler"
67,"What are ""macros"" in the context of dbt projects?
================================================
ANSWERS
A) Code blocks for configuring models

B) Blocks of code for bulk configurations

C) Blocks of SQL queries

D) Docs for your project
================================================
TOPICS:
macros, code reusability","================================================
C
================================================
Macros are blocks of code that you can reuse multiple times.Reference:https://docs.getdbt.com/docs/build/projects"
68,"A data engineer is tasked with implementing custom schema tests for a new data model in dbt. The engineer wants to ensure that certain columns meet specific criteria before the model is deployed to production. They are considering various approaches to create these tests effectively. What are two effective strategies the engineer can use to implement custom schema tests for the new data model, focusing on data integrity and quality?
================================================
ANSWERS
A) Utilize built-in dbt tests to cover all potential data quality issues without customization.

B) Use a generic test with standard arguments to validate the entire dataset without focusing on specific columns.

C) Implement a test that checks for null values in critical columns using the `not_null` constraint.

D) Create a custom schema test that checks for unique values in the specified columns.

E) Develop a test that verifies the data type of each column matches the expected type defined in the model.
================================================
TOPICS:
data quality, schema tests, custom tests, data integrity","================================================
C, D
================================================
Creating a custom schema test to check for unique values ensures that the specified columns do not contain duplicates, which is crucial for data integrity. Additionally, implementing a test that checks for null values in critical columns using the `not_null` constraint helps maintain data quality by ensuring that essential fields are populated. The other options either lack specificity or do not focus on the critical aspects of the data model. 

Reference: https://docs.getdbt.com/best-practices/writing-custom-generic-tests"
69,"A data analyst is tasked with managing sensitive information in a dbt project. They need to ensure that any secret environment variables, such as API keys or database passwords, are handled securely and do not appear in logs or metadata artifacts. What is the correct approach for using secret environment variables in this dbt project, considering the importance of security in handling sensitive information?
================================================
ANSWERS
A) Utilize environment variables without any prefix, as they will automatically be treated as secret variables by dbt, although this approach may not provide the same level of protection.

B) Use environment variables prefixed with `DBT_ENV_SECRET_` to store sensitive information, ensuring they are scrubbed from logs and not accessible in dbt_project.yml or model SQL.

C) Define secret environment variables in a separate configuration file that is not tracked by version control, ensuring they are recognized by dbt. However, this may lead to challenges in managing and maintaining these files and ensuring that they are accessible to dbt.

D) Store sensitive information directly in the dbt_project.yml file to ensure easy access and visibility during development, but be aware of the security risks involved with this approach.

E) Use a dedicated secret management service or tool that integrates with dbt to manage and secure your secret environment variables.
================================================
TOPICS:
environment variables, security, sensitive information, dbt_project.yml","================================================
B
================================================
The correct approach is to use environment variables prefixed with `DBT_ENV_SECRET_` to store sensitive information. This ensures that the values are scrubbed from logs and are not accessible in dbt_project.yml or model SQL, thus maintaining security. Storing sensitive information directly in the dbt_project.yml file is not secure, and using unprefixed environment variables does not provide the same level of protection. Defining secrets in a separate configuration file is not a standard practice and may lead to security risks. 

## Reference: https://docs.getdbt.com/reference/dbt-jinja-functions/env_var"
70,"A data engineer is tasked with defining additional properties for a new version of a data model in a dbt project. They need to ensure that the new version includes specific constraints and tests for the additional columns they are introducing. What should the engineer include in the model definition to ensure that the new version is properly configured with constraints and tests for the additional columns, including necessary properties such as data types and default values?
================================================
ANSWERS
A) Only declare the new version without specifying any constraints or tests, as they are optional for additional columns, and these are not required in this instance for the additional columns.

B) Include constraints for the new version but omit tests, as they are not necessary for the additional columns.

C) Declare the new version with the required properties and include constraints and tests for each additional column under the 'columns' section.

D) Assume that constraints and tests are only necessary for primary keys and not for additional columns, as it is understood in general that these only apply to primary keys.

E) Define the new version and include only the 'description' and 'docs' properties, ignoring constraints and tests altogether, since this is not required.
================================================
TOPICS:
data modeling, constraints, tests, model properties, columns","================================================
C
================================================
The correct approach is to declare the new version with the required properties, ensuring that constraints and tests for each additional column are specified under the 'columns' section. This ensures that the model is robust and meets the necessary validation criteria. Omitting constraints or tests would lead to potential data integrity issues, while only including basic properties would not provide the necessary validation for the new columns. 

## Reference: https://docs.getdbt.com/reference/model-properties"
71,"A data engineer is preparing to deploy a dbt project that relies on several external packages. They want to ensure that the package versions are consistent across all environments and that any changes to the package configurations are tracked properly in version control. What should the engineer do to manage package versions effectively in their dbt project, considering the potential risks of not managing package versions properly?

Choose only ONE best answer.
================================================
ANSWERS
A) Manually edit the `dependencies.yml` file to specify the desired package versions without using the lock file.

B) Ignore the `package-lock.yml` file by adding it to `.gitignore` to allow for flexible package updates without version control.

C) Commit the `package-lock.yml` file to Git initially and update it only when changing versions or uninstalling packages.

D) Run `dbt deps --upgrade` regularly to always use the latest versions of packages, regardless of the lock file.
================================================
TOPICS:
package management, dependencies, version control, deployment","================================================
C
================================================
The engineer should commit the `package-lock.yml` file to Git initially and update it only when changing versions or uninstalling packages. This practice ensures that the complete set of required packages with pinned versions is stored in version-controlled code, leading to predictable installs in production and consistency across all developers and environments. Ignoring the lock file would lead to unpredictable builds, while running `dbt deps --upgrade` regularly could introduce instability. Manually editing the `dependencies.yml` file does not provide the same level of control and tracking as using the lock file. 

## Reference: https://docs.getdbt.com/reference/commands/deps"
72,"During a dbt project, a data engineer needs to ensure that their transformations are efficient and do not compromise data integrity. They are considering running multiple dbt commands simultaneously to speed up the process. What is the best practice regarding executing dbt commands in parallel to ensure data integrity?
================================================
ANSWERS
A) dbt compile and dbt run

B) dbt test and dbt build

C) dbt build and dbt parse

D) dbt run and dbt test
================================================
TOPICS:
dbt commands, data integrity, parallel execution","================================================
C
================================================
The combination of 'dbt build' and 'dbt parse' can be executed in parallel without risking data integrity, as 'dbt parse' is a read-only command that does not modify data. The other combinations involve at least one write command, which could lead to conflicts if run simultaneously."
